Dates,NORMAL(mm),ACTUAL(mm) 
06-Jul-21,17.4,2.93
07-Jul-21,7.7,4.34
08-Jul-21,27.4,19.46
09-Jul-21,14.5,9.15
10-Jul-21,8.3,23.06
11-Jul-21,7.5,0.7
12-Jul-21,8,3.49
13-Jul-21,9,0.33
16-Jul-21,22.9,13.62
17-Jul-21,9.2,22.34
18-Jul-21,12.9,5.68
19-Jul-21,14.1,4.47
20-Jul-21,10.5,8.46
21-Jul-21,16,5.33
22-Jul-21,16.7,6.05
23-Jul-21,9.9,0.45
24-Jul-21,11.7,0.69
25-Jul-21,17.6,0.24
26-Jul-21,16.7,0.14
27-Jul-21,20.7,37.22
28-Jul-21,16.5,17.39
29-Jul-21,9.9,13.9
30-Jul-21,7.1,11.4
31-Jul-21,8,5.26
01-Aug-21,7.5,3.09
02-Aug-21,4.8,24.63
03-Aug-21,15.6,0.76
04-Aug-21,4.2,0.05
05-Aug-21,4.2,0.06
06-Aug-21,6.5,0
07-Aug-21,3.9,3.41
08-Aug-21,3.4,20.13
09-Aug-21,6.2,1.72
10-Aug-21,6.4,5.13
11-Aug-21,5.6,10.69
12-Aug-21,6.5,3.34
13-Aug-21,3.4,5.3
14-Aug-21,11.3,2.96
15-Aug-21,10.7,22.73
16-Aug-21,7.8,3.6
17-Aug-21,3.6,0.66
18-Aug-21,5.3,1.97
19-Aug-21,4,3.42
20-Aug-21,5.6,0.48
21-Aug-21,18.3,3.29
22-Aug-21,21.1,0.2
23-Aug-21,12.2,9.31
24-Aug-21,10,8.79
25-Aug-21,7.7,9.96
26-Aug-21,5.1,20.48
27-Aug-21,12.5,22.49
28-Aug-21,7.5,2.15
29-Aug-21,1.5,0
30-Aug-21,3.3,0.18
31-Aug-21,3.4,4.83
01-Sep-21,2,9.85
02-Sep-21,2.3,43.53
03-Sep-21,5,2.56
04-Sep-21,9.8,0
05-Sep-21,6,0.09
06-Sep-21,8.8,3.08
07-Sep-21,13,55.04
08-Sep-21,8.9,0.69
09-Sep-21,10.3,0.2
10-Sep-21,14.9,2.55
11-Sep-21,19,1.02
12-Sep-21,15,0.37
13-Sep-21,10.4,0.06
14-Sep-21,11.1,0
15-Sep-21,12.4,2.18
16-Sep-21,12.6,0.24
17-Sep-21,13.5,8.9
18-Sep-21,7.1,15.42
19-Sep-21,8.8,10.99
20-Sep-21,4.4,0.04
21-Sep-21,9.8,0.17
22-Sep-21,8.5,5.95
23-Sep-21,6.3,0
24-Sep-21,1.6,0.52
25-Sep-21,5.9,0.08
26-Sep-21,5.9,0
27-Sep-21,6.4,0
28-Sep-21,4.7,10.93
29-Sep-21,7.3,0.18
30-Sep-21,6.3,1.42
01-Oct-21,2.4,0
02-Oct-21,6,0.08
03-Oct-21,7.8,0.29
04-Oct-21,9.2,1.72
05-Oct-21,8.9,27.11
06-Oct-21,3.8,0.03
07-Oct-21,2.6,0
08-Oct-21,6.8,0
09-Oct-21,6.3,0
10-Oct-21,9.6,0.34
11-Oct-21,5.8,0
12-Oct-21,3.6,0
13-Oct-21,1.8,0
14-Oct-21,2.5,0
15-Oct-21,1.6,0.08
16-Oct-21,2.5,0
17-Oct-21,1.3,0.83
18-Oct-21,0.5,1.73
19-Oct-21,0.3,15.46
20-Oct-21,1.8,14.07
21-Oct-21,3.5,5
22-Oct-21,5.9,0
23-Oct-21,3.7,0
24-Oct-21,0.9,0
25-Oct-21,3,0
26-Oct-21,2.1,0
27-Oct-21,0.9,0
28-Oct-21,0,0
29-Oct-21,0.4,0
30-Oct-21,0.4,0
